;time;be_de;be_fr;de_fr
0;20200101_0000;0.0;255.8;255.8
1;20200101_0100;0.0;283.9;294.5
2;20200101_0200;0.0;294.3;303.0
3;20200101_0300;0.0;298.3;314.3
4;20200101_0400;0.0;281.7;305.6
5;20200101_0500;0.0;201.6;286.7
6;20200101_0600;0.0;234.9;234.9
7;20200101_0700;0.0;254.1;254.1
8;20200101_0800;0.0;358.3;358.3
9;20200101_0900;0.0;473.7;473.7
10;20200101_1000;357.1;472.8;472.8
11;20200101_1100;418.3;361.0;361.0
12;20200101_1200;407.5;261.0;261.0
13;20200101_1300;427.3;158.3;158.3
14;20200101_1400;445.5;41.7;41.7
15;20200101_1500;0.0;0.0;0.0
16;20200101_1600;481.9;70.9;70.9
17;20200101_1700;0.0;0.0;0.0
18;20200101_1800;292.6;24.7;24.7
19;20200101_1900;0.0;0.0;0.0
20;20200101_2000;383.9;86.2;86.2
21;20200101_2100;0.0;0.0;0.0
22;20200101_2200;153.4;27.9;27.9
23;20200101_2300;173.3;19.1;19.1
24;20200102_0000;126.4;21.4;21.4
25;20200102_0100;114.3;0.0;0.0
26;20200102_0200;137.3;12.5;12.5
27;20200102_0300;139.2;10.7;10.7
28;20200102_0400;57.5;2.7;2.7
29;20200102_0500;34.8;56.0;56.0
30;20200102_0600;20.5;81.6;81.6
31;20200102_0700;12.7;195.6;286.5
32;20200102_0800;0.0;284.0;378.3
33;20200102_0900;0.0;0.0;465.9
34;20200102_1000;0.0;0.0;478.0
35;20200102_1100;0.0;0.0;599.8
36;20200102_1200;0.0;240.4;623.3
37;20200102_1300;0.0;252.3;448.9
38;20200102_1400;0.0;213.2;259.2
39;20200102_1500;0.0;154.8;189.8
40;20200102_1600;6.7;8.4;8.4
41;20200102_1700;187.2;83.4;83.4
42;20200102_1800;193.2;19.0;19.0
43;20200102_1900;99.1;23.0;23.0
44;20200102_2000;20.6;57.2;57.2
45;20200102_2100;0.0;105.7;105.7
46;20200102_2200;0.0;150.3;150.3
47;20200102_2300;0.0;200.3;246.7
48;20200103_0000;0.0;206.7;277.1
49;20200103_0100;0.0;260.4;289.1
50;20200103_0200;0.0;289.5;297.2
51;20200103_0300;0.0;306.0;315.0
52;20200103_0400;0.0;277.6;285.8
53;20200103_0500;0.0;258.2;282.0
54;20200103_0600;0.0;222.4;235.4
55;20200103_0700;0.0;173.7;605.1
56;20200103_0800;0.0;264.5;735.5
57;20200103_0900;0.0;271.4;728.6
58;20200103_1000;19.0;184.8;651.1
59;20200103_1100;13.5;13.5;723.1
60;20200103_1200;0.0;408.3;493.2
61;20200103_1300;306.0;206.0;206.0
62;20200103_1400;0.0;381.7;405.2
63;20200103_1500;170.9;269.0;269.0
64;20200103_1600;339.4;85.0;85.0
65;20200103_1700;0.0;0.0;0.0
66;20200103_1800;0.0;0.0;0.0
67;20200103_1900;321.2;0.0;0.0
68;20200103_2000;325.8;0.0;0.0
69;20200103_2100;0.0;0.0;0.0
70;20200103_2200;274.7;0.0;0.0
71;20200103_2300;229.9;18.1;18.1
72;20200104_0000;294.1;18.2;18.2
73;20200104_0100;320.0;36.8;36.8
74;20200104_0200;332.9;51.3;51.3
75;20200104_0300;338.4;57.5;57.5
76;20200104_0400;442.2;15.1;15.1
77;20200104_0500;0.0;0.0;0.0
78;20200104_0600;0.0;0.0;0.0
79;20200104_0700;416.8;171.0;171.0
80;20200104_0800;485.1;277.1;277.1
81;20200104_0900;453.1;400.7;400.7
82;20200104_1000;260.0;500.0;500.0
83;20200104_1100;119.7;500.0;500.0
84;20200104_1200;364.7;237.4;237.4
85;20200104_1300;0.0;500.0;500.0
86;20200104_1400;0.0;455.9;496.1
87;20200104_1500;0.0;397.0;407.0
88;20200104_1600;364.1;147.5;147.5
89;20200104_1700;344.2;88.7;88.7
90;20200104_1800;280.8;151.7;151.7
91;20200104_1900;0.0;209.0;209.0
92;20200104_2000;0.0;206.4;206.4
93;20200104_2100;0.0;187.4;230.6
94;20200104_2200;0.0;244.9;244.9
95;20200104_2300;0.0;250.1;250.1
96;20200105_0000;0.0;292.2;292.2
97;20200105_0100;0.0;309.9;309.9
98;20200105_0200;0.0;317.6;317.6
99;20200105_0300;0.0;330.4;330.4
100;20200105_0400;0.0;317.2;343.7
101;20200105_0500;0.0;322.8;344.5
102;20200105_0600;0.0;321.2;321.2
103;20200105_0700;0.0;156.8;726.8
104;20200105_0800;64.3;64.3;415.2
105;20200105_0900;0.0;293.9;706.1
106;20200105_1000;12.3;382.8;617.2
107;20200105_1100;0.0;317.3;584.4
108;20200105_1200;0.0;396.6;525.8
109;20200105_1300;0.0;463.6;496.0
110;20200105_1400;190.4;500.0;500.0
111;20200105_1500;0.0;398.8;446.1
112;20200105_1600;361.5;292.8;292.8
113;20200105_1700;289.6;170.7;170.7
114;20200105_1800;373.0;105.8;105.8
115;20200105_1900;353.2;118.8;118.8
116;20200105_2000;224.2;91.4;91.4
117;20200105_2100;205.2;115.0;115.0
118;20200105_2200;38.3;237.9;237.9
119;20200105_2300;0.0;255.9;328.3
120;20200106_0000;0.0;295.6;295.6
121;20200106_0100;0.0;316.8;318.3
122;20200106_0200;0.0;332.6;332.6
123;20200106_0300;0.0;340.4;340.4
124;20200106_0400;0.0;318.4;318.4
125;20200106_0500;0.0;254.9;257.8
126;20200106_0600;0.0;222.3;249.9
127;20200106_0700;0.0;286.9;460.3
128;20200106_0800;0.0;0.0;779.4
129;20200106_0900;0.0;243.3;756.7
130;20200106_1000;0.0;264.5;735.5
131;20200106_1100;0.0;279.4;720.6
132;20200106_1200;0.0;0.0;718.9
133;20200106_1300;0.0;348.4;541.1
134;20200106_1400;0.0;157.8;748.0
135;20200106_1500;0.0;289.7;328.7
136;20200106_1600;38.0;134.9;134.9
137;20200106_1700;164.0;6.1;6.1
138;20200106_1800;120.1;82.1;82.1
139;20200106_1900;60.0;45.0;45.0
140;20200106_2000;104.0;141.6;141.6
141;20200106_2100;0.0;198.8;198.8
142;20200106_2200;0.0;130.6;303.4
143;20200106_2300;0.0;210.9;269.3
144;20200107_0000;0.0;260.1;291.7
145;20200107_0100;0.0;274.1;346.6
146;20200107_0200;0.0;264.7;377.6
147;20200107_0300;0.0;274.3;378.2
148;20200107_0400;0.0;303.4;343.3
149;20200107_0500;0.0;250.2;306.6
150;20200107_0600;0.0;121.3;370.6
151;20200107_0700;0.0;0.0;661.2
152;20200107_0800;0.0;0.0;610.2
153;20200107_0900;0.0;237.7;762.3
154;20200107_1000;0.0;263.9;736.1
155;20200107_1100;0.0;279.8;720.2
156;20200107_1200;0.0;0.0;329.8
157;20200107_1300;0.0;39.6;727.8
158;20200107_1400;0.0;195.1;745.6
159;20200107_1500;0.0;178.4;443.4
160;20200107_1600;0.0;197.1;207.2
161;20200107_1700;0.0;140.7;140.7
162;20200107_1800;0.0;200.2;200.2
163;20200107_1900;23.2;173.4;173.4
164;20200107_2000;0.0;194.3;194.3
165;20200107_2100;0.0;199.3;199.3
166;20200107_2200;0.0;194.7;255.9
167;20200107_2300;0.0;235.0;253.3
168;20200108_0000;0.0;241.6;299.0
169;20200108_0100;0.0;280.0;299.4
170;20200108_0200;0.0;268.0;285.5
171;20200108_0300;0.0;286.5;286.5
172;20200108_0400;157.2;374.2;374.2
173;20200108_0500;288.2;413.4;416.1
174;20200108_0600;244.0;336.2;336.2
175;20200108_0700;0.0;371.7;371.7
176;20200108_0800;0.0;253.6;632.4
