;time;be_de;be_fr;de_fr
0;20200101_0000;0.0;46.4;509.4
1;20200101_0100;0.0;196.5;398.2
2;20200101_0200;0.0;188.4;421.6
3;20200101_0300;0.0;182.1;460.4
4;20200101_0400;0.0;180.4;503.0
5;20200101_0500;0.0;13.8;670.1
6;20200101_0600;0.0;153.2;431.0
7;20200101_0700;0.0;0.0;559.6
8;20200101_0800;60.8;339.8;660.2
9;20200101_0900;62.4;442.6;522.8
10;20200101_1000;298.1;338.5;338.5
11;20200101_1100;288.1;318.1;318.1
12;20200101_1200;310.8;146.8;146.8
13;20200101_1300;389.8;127.0;127.0
14;20200101_1400;349.0;36.2;36.2
15;20200101_1500;0.0;0.0;0.0
16;20200101_1600;336.3;91.1;91.1
17;20200101_1700;132.9;15.6;15.6
18;20200101_1800;170.8;43.4;43.4
19;20200101_1900;50.2;0.6;0.6
20;20200101_2000;226.6;72.6;72.6
21;20200101_2100;206.9;25.1;25.1
22;20200101_2200;118.2;62.8;62.8
23;20200101_2300;287.3;25.6;25.6
24;20200102_0000;168.6;27.1;27.1
25;20200102_0100;300.6;82.1;82.1
26;20200102_0200;278.3;5.2;5.2
27;20200102_0300;296.6;10.8;10.8
28;20200102_0400;221.3;82.3;82.3
29;20200102_0500;209.5;89.4;89.4
30;20200102_0600;125.6;19.1;19.1
31;20200102_0700;267.6;59.5;59.5
32;20200102_0800;84.7;127.9;454.5
33;20200102_0900;0.0;0.0;687.7
34;20200102_1000;0.0;0.0;658.6
35;20200102_1100;0.0;0.0;373.2
36;20200102_1200;0.0;0.0;646.6
37;20200102_1300;48.0;48.0;574.0
38;20200102_1400;27.7;27.7;550.6
39;20200102_1500;5.3;5.3;439.0
40;20200102_1600;26.7;26.0;26.0
41;20200102_1700;10.4;10.4;33.4
42;20200102_1800;23.6;23.6;66.4
43;20200102_1900;15.4;15.4;82.8
44;20200102_2000;86.4;79.8;79.8
45;20200102_2100;28.9;28.9;193.3
46;20200102_2200;203.0;203.0;233.3
47;20200102_2300;266.2;204.2;204.2
48;20200103_0000;0.0;237.8;302.4
49;20200103_0100;0.0;255.0;264.9
50;20200103_0200;0.0;305.2;305.2
51;20200103_0300;270.1;364.3;364.3
52;20200103_0400;292.4;333.5;338.4
53;20200103_0500;0.0;262.2;411.2
54;20200103_0600;0.0;209.6;322.2
55;20200103_0700;0.0;247.3;317.6
56;20200103_0800;0.0;207.0;685.1
57;20200103_0900;0.0;193.3;681.2
58;20200103_1000;0.0;242.2;639.6
59;20200103_1100;0.0;216.4;600.4
60;20200103_1200;35.9;464.0;536.0
61;20200103_1300;271.9;322.4;322.4
62;20200103_1400;152.2;480.4;483.5
63;20200103_1500;116.0;116.0;446.2
64;20200103_1600;156.7;66.8;66.8
65;20200103_1700;0.0;0.0;0.0
66;20200103_1800;0.0;0.0;0.0
67;20200103_1900;172.1;0.0;0.0
68;20200103_2000;138.2;0.0;0.0
69;20200103_2100;0.0;0.0;0.0
70;20200103_2200;0.0;0.0;0.0
71;20200103_2300;0.0;0.0;0.0
72;20200104_0000;0.0;0.0;0.0
73;20200104_0100;0.0;0.0;0.0
74;20200104_0200;0.0;0.0;0.0
75;20200104_0300;0.0;0.0;0.0
76;20200104_0400;0.0;0.0;0.0
77;20200104_0500;0.0;0.0;0.0
78;20200104_0600;0.0;0.0;0.0
79;20200104_0700;0.0;0.0;0.0
80;20200104_0800;310.3;231.2;231.2
81;20200104_0900;444.0;346.3;346.3
82;20200104_1000;417.2;500.0;500.0
83;20200104_1100;331.1;500.0;500.0
84;20200104_1200;60.5;500.0;500.0
85;20200104_1300;0.0;481.7;495.2
86;20200104_1400;137.4;500.0;500.0
87;20200104_1500;210.0;499.3;500.7
88;20200104_1600;314.0;179.5;179.5
89;20200104_1700;305.5;105.9;105.9
90;20200104_1800;284.4;84.5;84.5
91;20200104_1900;243.8;271.5;271.5
92;20200104_2000;0.0;254.6;279.2
93;20200104_2100;0.0;209.6;344.4
94;20200104_2200;0.0;377.3;377.3
95;20200104_2300;0.0;395.7;395.7
96;20200105_0000;0.0;410.1;410.1
97;20200105_0100;0.0;413.0;413.0
98;20200105_0200;0.0;412.6;412.6
99;20200105_0300;0.0;395.8;395.8
100;20200105_0400;0.0;335.9;376.6
101;20200105_0500;0.0;254.5;452.5
102;20200105_0600;0.0;244.4;473.6
103;20200105_0700;56.1;143.1;664.3
104;20200105_0800;0.0;242.1;754.1
105;20200105_0900;0.0;264.3;735.7
106;20200105_1000;0.0;285.5;714.5
107;20200105_1100;0.0;295.1;704.9
108;20200105_1200;0.0;305.6;694.4
109;20200105_1300;0.0;313.4;686.6
110;20200105_1400;0.0;325.5;619.2
111;20200105_1500;0.0;339.0;661.0
112;20200105_1600;211.6;211.6;326.5
113;20200105_1700;156.4;90.9;90.9
114;20200105_1800;76.2;27.8;27.8
115;20200105_1900;111.5;39.2;39.2
116;20200105_2000;189.8;67.9;67.9
117;20200105_2100;0.8;0.8;118.6
118;20200105_2200;122.1;122.1;250.5
119;20200105_2300;354.8;263.3;263.3
120;20200106_0000;157.0;378.8;378.8
121;20200106_0100;0.0;371.5;371.5
122;20200106_0200;0.0;396.6;396.6
123;20200106_0300;0.0;427.0;427.0
124;20200106_0400;342.4;457.8;457.8
125;20200106_0500;0.0;469.5;469.5
126;20200106_0600;0.0;387.7;387.7
127;20200106_0700;0.0;351.1;351.1
128;20200106_0800;0.0;153.5;715.3
129;20200106_0900;0.0;223.6;776.4
130;20200106_1000;0.0;248.3;751.7
131;20200106_1100;0.0;347.9;652.1
132;20200106_1200;0.0;282.8;540.2
133;20200106_1300;172.4;500.0;500.0
134;20200106_1400;153.2;500.0;500.0
135;20200106_1500;97.9;472.7;527.3
136;20200106_1600;352.0;302.6;302.6
137;20200106_1700;238.9;86.0;86.0
138;20200106_1800;199.7;71.8;71.8
139;20200106_1900;190.1;116.5;116.5
140;20200106_2000;1.2;1.2;394.3
141;20200106_2100;0.0;125.0;325.8
142;20200106_2200;0.0;117.9;403.2
143;20200106_2300;0.0;77.4;455.4
144;20200107_0000;0.0;112.5;453.3
145;20200107_0100;0.0;208.0;415.9
146;20200107_0200;0.0;217.1;435.2
147;20200107_0300;0.0;220.1;460.2
148;20200107_0400;0.0;232.1;492.4
149;20200107_0500;0.0;140.3;577.0
150;20200107_0600;0.0;35.9;508.4
151;20200107_0700;0.0;63.9;558.7
152;20200107_0800;0.0;0.0;757.2
153;20200107_0900;0.0;204.1;795.9
154;20200107_1000;0.0;239.8;760.2
155;20200107_1100;0.0;252.3;747.7
156;20200107_1200;0.0;258.5;741.5
157;20200107_1300;0.0;270.0;730.0
158;20200107_1400;0.0;275.0;725.0
159;20200107_1500;0.0;171.2;701.4
160;20200107_1600;0.0;227.0;322.7
161;20200107_1700;147.7;119.1;119.1
162;20200107_1800;29.7;29.7;351.8
163;20200107_1900;292.2;169.8;169.8
164;20200107_2000;303.8;220.7;220.7
165;20200107_2100;0.0;95.7;330.1
166;20200107_2200;0.0;146.2;387.7
167;20200107_2300;0.0;206.9;395.2
168;20200108_0000;13.9;13.9;415.6
169;20200108_0100;0.0;207.6;383.3
170;20200108_0200;0.0;225.7;403.8
171;20200108_0300;0.0;266.1;418.4
172;20200108_0400;131.9;151.0;550.2
173;20200108_0500;0.0;312.6;387.3
174;20200108_0600;0.0;245.6;366.2
175;20200108_0700;0.0;281.2;308.5
176;20200108_0800;0.0;404.1;592.2
177;20200108_0900;0.0;176.3;654.8
178;20200108_1000;0.0;241.9;758.1
179;20200108_1100;0.0;262.2;737.8
180;20200108_1200;0.0;273.7;726.3
181;20200108_1300;0.0;280.9;719.1
182;20200108_1400;0.0;265.4;730.4
183;20200108_1500;0.0;0.0;444.4
184;20200108_1600;0.0;36.0;479.2
185;20200108_1700;0.0;0.0;400.4
186;20200108_1800;20.0;20.0;310.3
187;20200108_1900;99.9;99.9;191.4
188;20200108_2000;0.0;69.6;358.3
189;20200108_2100;0.0;145.6;295.2
