;time;be_de;be_fr;de_fr
0;20200101_0000;632.0;0.0;0.0
1;20200101_0100;649.3;0.0;0.0
2;20200101_0200;635.2;0.0;0.0
3;20200101_0300;593.8;0.0;0.0
4;20200101_0400;565.6;0.0;0.0
5;20200101_0500;543.2;0.0;0.0
6;20200101_0600;145.5;0.0;0.0
7;20200101_0700;732.2;0.0;0.0
8;20200101_0800;558.4;0.0;0.0
9;20200101_0900;644.0;0.0;0.0
10;20200101_1000;392.0;27.2;27.2
11;20200101_1100;378.5;139.0;139.0
12;20200101_1200;396.5;239.0;239.0
13;20200101_1300;375.9;341.7;341.7
14;20200101_1400;360.1;428.6;468.7
15;20200101_1500;272.1;466.5;533.5
16;20200101_1600;244.8;388.3;469.8
17;20200101_1700;386.3;500.0;500.0
18;20200101_1800;502.7;406.1;375.6
19;20200101_1900;407.5;218.3;206.7
20;20200101_2000;301.2;111.9;111.5
21;20200101_2100;266.0;151.5;173.3
22;20200101_2200;398.0;139.2;111.1
23;20200101_2300;436.4;169.3;127.0
24;20200102_0000;595.4;163.1;94.1
25;20200102_0100;416.3;162.2;144.0
26;20200102_0200;403.9;150.5;142.5
27;20200102_0300;432.3;151.6;106.1
28;20200102_0400;668.6;161.2;43.3
29;20200102_0500;642.7;108.6;26.3
30;20200102_0600;662.9;67.2;15.7
31;20200102_0700;736.6;1.3;1.2
32;20200102_0800;846.3;0.0;0.0
33;20200102_0900;806.2;201.4;77.0
34;20200102_1000;673.0;252.1;92.9
35;20200102_1100;794.6;109.1;29.2
36;20200102_1200;709.0;0.0;0.0
37;20200102_1300;818.1;0.0;0.0
38;20200102_1400;855.9;0.0;0.0
39;20200102_1500;757.9;0.0;0.0
40;20200102_1600;875.3;23.1;5.2
41;20200102_1700;386.5;150.9;143.1
42;20200102_1800;489.7;216.1;182.5
43;20200102_1900;860.4;198.7;87.9
44;20200102_2000;904.1;72.0;16.0
45;20200102_2100;768.6;0.0;0.0
46;20200102_2200;239.7;0.0;0.0
