;time;be_de;be_fr;de_fr
0;20200101_0000;565.9;0.0;0.0
1;20200101_0100;432.3;0.0;0.0
2;20200101_0200;485.9;0.0;0.0
3;20200101_0300;518.7;0.0;0.0
4;20200101_0400;516.4;0.0;0.0
5;20200101_0500;644.9;0.0;0.0
6;20200101_0600;283.3;0.0;0.0
7;20200101_0700;487.0;23.7;22.3
8;20200101_0800;0.0;0.0;0.0
9;20200101_0900;483.8;17.3;17.3
10;20200101_1000;521.1;161.5;161.5
11;20200101_1100;532.4;181.9;181.9
12;20200101_1200;500.0;353.2;353.2
13;20200101_1300;383.0;371.0;373.0
14;20200101_1400;438.3;463.1;464.6
15;20200101_1500;413.6;500.0;500.0
16;20200101_1600;400.2;408.9;408.9
17;20200101_1700;696.4;388.4;366.8
18;20200101_1800;717.4;234.9;234.9
19;20200101_1900;567.9;291.3;291.3
20;20200101_2000;458.1;222.9;222.9
21;20200101_2100;658.7;381.6;352.6
22;20200101_2200;860.1;495.0;340.2
23;20200101_2300;443.5;462.7;468.2
24;20200102_0000;749.0;384.8;356.6
25;20200102_0100;530.9;421.4;398.9
26;20200102_0200;408.8;494.8;494.8
27;20200102_0300;397.9;489.2;489.2
28;20200102_0400;553.1;439.7;395.7
29;20200102_0500;482.6;352.0;352.0
30;20200102_0600;526.9;440.8;440.8
31;20200102_0700;535.2;419.7;419.7
32;20200102_0800;746.9;171.7;62.1
33;20200102_0900;846.5;55.3;17.8
34;20200102_1000;865.1;0.0;0.0
35;20200102_1100;1019.0;0.0;0.0
36;20200102_1200;898.4;0.0;0.0
37;20200102_1300;908.1;128.1;83.2
38;20200102_1400;760.9;157.0;130.6
39;20200102_1500;545.0;258.8;138.1
40;20200102_1600;458.6;201.8;187.0
41;20200102_1700;466.2;213.2;199.2
42;20200102_1800;465.8;192.3;180.7
43;20200102_1900;467.5;189.1;177.6
44;20200102_2000;437.2;153.4;144.3
45;20200102_2100;528.4;111.9;105.5
46;20200102_2200;276.1;62.4;58.8
47;20200102_2300;253.7;67.5;63.5
48;20200103_0000;256.3;0.0;0.0
49;20200103_0100;265.2;0.0;0.0
50;20200103_0200;351.8;0.0;0.0
51;20200103_0300;673.5;21.1;21.1
52;20200103_0400;696.7;45.3;45.3
53;20200103_0500;386.5;0.0;0.0
54;20200103_0600;221.3;0.0;0.0
55;20200103_0700;331.0;0.0;0.0
56;20200103_0800;805.7;0.0;0.0
57;20200103_0900;823.5;0.0;0.0
58;20200103_1000;833.3;0.0;0.0
59;20200103_1100;930.2;0.0;0.0
60;20200103_1200;0.0;0.0;0.0
61;20200103_1300;725.0;177.6;140.7
62;20200103_1400;325.3;18.1;18.1
63;20200103_1500;212.4;81.2;131.6
64;20200103_1600;332.4;201.8;186.1
65;20200103_1700;588.3;540.7;459.3
66;20200103_1800;810.8;245.6;227.4
67;20200103_1900;650.0;487.3;431.0
68;20200103_2000;749.0;335.0;335.0
69;20200103_2100;510.4;512.6;487.4
70;20200103_2200;427.9;500.0;500.0
71;20200103_2300;402.1;500.0;500.0
72;20200104_0000;386.6;500.0;500.0
73;20200104_0100;377.4;500.0;500.0
74;20200104_0200;373.0;500.0;500.0
75;20200104_0300;370.4;500.0;500.0
76;20200104_0400;376.1;500.0;500.0
77;20200104_0500;390.9;500.0;500.0
78;20200104_0600;427.2;500.0;500.0
79;20200104_0700;379.5;500.0;500.0
80;20200104_0800;511.9;268.8;268.8
81;20200104_0900;354.3;153.7;153.7
82;20200104_1000;0.0;0.0;0.0
83;20200104_1100;0.0;0.0;0.0
84;20200104_1200;0.0;0.0;0.0
85;20200104_1300;729.0;0.0;0.0
86;20200104_1400;0.0;0.0;0.0
87;20200104_1500;0.0;0.0;0.0
88;20200104_1600;504.2;239.8;221.1
89;20200104_1700;418.4;262.6;297.2
90;20200104_1800;436.7;277.9;363.0
91;20200104_1900;262.5;37.1;34.7
92;20200104_2000;257.9;0.0;0.0
93;20200104_2100;302.7;0.0;0.0
94;20200104_2200;366.0;0.0;0.0
95;20200104_2300;405.1;0.0;0.0
96;20200105_0000;559.9;0.0;0.0
97;20200105_0100;633.9;0.0;0.0
98;20200105_0200;621.2;0.0;0.0
99;20200105_0300;596.7;0.0;0.0
100;20200105_0400;496.1;0.0;0.0
101;20200105_0500;476.7;0.0;0.0
102;20200105_0600;467.4;0.0;0.0
103;20200105_0700;615.5;0.0;0.0
